No_Faktur,Bulan_Pembelian,Nama_Mobil,Wilayah,Gender_Pembeli,Pekerjaan_Pembeli,Umur_Pembeli,Pendapatan_Bulanan_Juta
INV/2026/00080,Juni,Honda HR-V,Jawa Barat (Bandung),Wanita,Karyawan Swasta,50,18.4
INV/2026/00081,Maret,Toyota Avanza,Sumatera Utara (Medan),Pria,Professional (Dokter/Pengacara),36,18.8
INV/2026/00082,Juni,Honda Brio,Sumatera Utara (Medan),Pria,Rumah Tangga,22,5.9
INV/2026/00083,Juni,Honda Brio,Jawa Barat (Bandung),Wanita,PNS,46,13.7
INV/2026/00084,April,Honda Brio,Jawa Timur (Surabaya),Wanita,PNS,28,20.2
INV/2026/00085,November,Toyota Avanza,Jawa Tengah (Semarang),Wanita,Professional (Dokter/Pengacara),30,11.0
INV/2026/00086,Mei,Daihatsu Sigra,Sumatera Utara (Medan),Pria,BUMN,45,9.1
INV/2026/00087,Desember,Toyota Innova Zenix,Sumatera Utara (Medan),Wanita,Rumah Tangga,22,4.0
INV/2026/00088,November,Honda Brio,DKI Jakarta,Wanita,Pengusaha,29,12.7
INV/2026/00089,November,Honda HR-V,Sulawesi Selatan (Makassar),Wanita,Karyawan Swasta,45,8.8
INV/2026/00090,Februari,Mitsubishi Xpander,Jawa Tengah (Semarang),Pria,Rumah Tangga,32,10.1
INV/2026/00091,Oktober,Mitsubishi Xpander,Sumatera Utara (Medan),Pria,Karyawan Swasta,38,15.8
INV/2026/00092,November,Honda HR-V,Jawa Tengah (Semarang),Wanita,Rumah Tangga,29,13.2
INV/2026/00093,Maret,Honda HR-V,Sulawesi Selatan (Makassar),Wanita,BUMN,56,8.7
INV/2026/00094,September,Honda HR-V,Jawa Tengah (Semarang),Pria,Karyawan Swasta,56,4.0
INV/2026/00095,Desember,Toyota Avanza,Sulawesi Selatan (Makassar),Wanita,Rumah Tangga,54,20.4
INV/2026/00096,April,Toyota Innova Zenix,Sulawesi Selatan (Makassar),Pria,PNS,26,24.0
INV/2026/00097,Maret,Honda Brio,Sumatera Utara (Medan),Wanita,Pengusaha,63,14.8
INV/2026/00098,Agustus,Honda HR-V,Sumatera Utara (Medan),Pria,Pengusaha,60,15.9
INV/2026/00099,Juli,Toyota Avanza,Sulawesi Selatan (Makassar),Wanita,Pengusaha,62,18.0
INV/2026/00100,Mei,Honda HR-V,Jawa Barat (Bandung),Wanita,Pengusaha,49,30.6
INV/2026/00101,November,Daihatsu Sigra,Sulawesi Selatan (Makassar),Wanita,Rumah Tangga,28,5.5
INV/2026/00102,Desember,Toyota Innova Zenix,DKI Jakarta,Pria,Karyawan Swasta,30,14.7
INV/2026/00103,September,Daihatsu Sigra,Sumatera Utara (Medan),Pria,Rumah Tangga,29,4.2
INV/2026/00104,April,Daihatsu Sigra,Jawa Timur (Surabaya),Pria,Pengusaha,33,20.9
INV/2026/00105,November,Honda HR-V,Sumatera Utara (Medan),Pria,Pengusaha,55,16.8
INV/2026/00106,Juni,Mitsubishi Xpander,Sulawesi Selatan (Makassar),Pria,Pengusaha,54,19.6
INV/2026/00107,Januari,Honda Brio,Sumatera Utara (Medan),Pria,Pengusaha,44,19.2
INV/2026/00108,April,Toyota Rush,Sulawesi Selatan (Makassar),Pria,Pengusaha,45,25.9
INV/2026/00109,Januari,Toyota Avanza,Jawa Tengah (Semarang),Pria,PNS,58,22.3
INV/2026/00110,Juni,Daihatsu Sigra,Jawa Timur (Surabaya),Wanita,Professional (Dokter/Pengacara),56,24.6
INV/2026/00111,Juli,Honda HR-V,Jawa Timur (Surabaya),Pria,Karyawan Swasta,61,9.5
INV/2026/00112,Mei,Daihatsu Sigra,Jawa Timur (Surabaya),Pria,Rumah Tangga,43,27.5
INV/2026/00113,Februari,Toyota Avanza,DKI Jakarta,Pria,Professional (Dokter/Pengacara),48,12.2
INV/2026/00114,April,Toyota Innova Zenix,DKI Jakarta,Wanita,Pengusaha,56,12.7
INV/2026/00115,Oktober,Toyota Avanza,Sulawesi Selatan (Makassar),Pria,BUMN,22,20.2
INV/2026/00116,Desember,Toyota Rush,DKI Jakarta,Wanita,Pengusaha,56,20.4
INV/2026/00117,Juni,Toyota Avanza,Jawa Barat (Bandung),Wanita,Karyawan Swasta,58,9.4
INV/2026/00118,April,Honda Brio,Jawa Timur (Surabaya),Wanita,Karyawan Swasta,35,16.6
INV/2026/00119,November,Mitsubishi Xpander,Jawa Timur (Surabaya),Pria,Rumah Tangga,24,29.9
INV/2026/00120,Agustus,Daihatsu Sigra,Jawa Tengah (Semarang),Pria,Rumah Tangga,22,6.3
INV/2026/00121,Juli,Mitsubishi Xpander,Sulawesi Selatan (Makassar),Wanita,Pengusaha,26,29.9
INV/2026/00122,November,Toyota Rush,DKI Jakarta,Wanita,PNS,47,16.1
INV/2026/00123,Agustus,Toyota Innova Zenix,Jawa Tengah (Semarang),Pria,Rumah Tangga,35,4.0
INV/2026/00124,Maret,Toyota Rush,Jawa Timur (Surabaya),Pria,PNS,60,7.1
INV/2026/00125,Mei,Daihatsu Sigra,Sumatera Utara (Medan),Pria,Rumah Tangga,48,10.3
INV/2026/00126,Maret,Mitsubishi Xpander,DKI Jakarta,Wanita,Professional (Dokter/Pengacara),30,13.0
INV/2026/00127,April,Toyota Innova Zenix,Sumatera Utara (Medan),Wanita,Pengusaha,36,17.2
INV/2026/00128,Desember,Honda HR-V,Jawa Timur (Surabaya),Wanita,Rumah Tangga,36,4.0
INV/2026/00129,September,Honda Brio,Jawa Timur (Surabaya),Pria,Karyawan Swasta,47,19.5
INV/2026/00130,September,Toyota Innova Zenix,Sumatera Utara (Medan),Pria,Pengusaha,63,9.6
INV/2026/00131,Mei,Mitsubishi Xpander,Jawa Timur (Surabaya),Pria,Professional (Dokter/Pengacara),34,29.1
INV/2026/00132,Desember,Toyota Avanza,DKI Jakarta,Wanita,Professional (Dokter/Pengacara),53,15.8
INV/2026/00133,Oktober,Daihatsu Sigra,Jawa Tengah (Semarang),Wanita,Karyawan Swasta,60,25.5
INV/2026/00134,Juli,Honda Brio,Jawa Barat (Bandung),Pria,Pengusaha,53,26.9
INV/2026/00135,Oktober,Mitsubishi Xpander,Jawa Barat (Bandung),Pria,PNS,25,26.7
INV/2026/00136,Juli,Honda HR-V,Jawa Barat (Bandung),Wanita,Karyawan Swasta,51,13.5
INV/2026/00137,Juni,Honda Brio,Jawa Tengah (Semarang),Pria,BUMN,58,13.4
INV/2026/00138,April,Toyota Innova Zenix,Jawa Timur (Surabaya),Pria,Pengusaha,44,16.2
INV/2026/00139,Maret,Mitsubishi Xpander,Sulawesi Selatan (Makassar),Pria,Rumah Tangga,60,23.1
INV/2026/00140,September,Toyota Avanza,DKI Jakarta,Wanita,Professional (Dokter/Pengacara),36,13.9
INV/2026/00141,Agustus,Toyota Avanza,Jawa Tengah (Semarang),Wanita,Karyawan Swasta,64,17.0
INV/2026/00142,Februari,Honda HR-V,DKI Jakarta,Pria,Karyawan Swasta,50,20.2
INV/2026/00143,Januari,Toyota Avanza,Jawa Timur (Surabaya),Pria,Pengusaha,57,10.8
INV/2026/00144,Februari,Toyota Avanza,DKI Jakarta,Wanita,Pengusaha,34,10.3
INV/2026/00145,Maret,Toyota Rush,Jawa Timur (Surabaya),Wanita,Karyawan Swasta,53,16.7
INV/2026/00146,November,Daihatsu Sigra,Jawa Barat (Bandung),Wanita,Pengusaha,28,17.8
INV/2026/00147,Maret,Honda HR-V,DKI Jakarta,Pria,Professional (Dokter/Pengacara),43,21.5
INV/2026/00148,November,Honda Brio,Sulawesi Selatan (Makassar),Pria,Karyawan Swasta,49,23.4
INV/2026/00149,Juli,Mitsubishi Xpander,Jawa Timur (Surabaya),Wanita,Professional (Dokter/Pengacara),23,9.2
INV/2026/00150,Oktober,Toyota Avanza,DKI Jakarta,Pria,Pengusaha,63,11.5
INV/2026/00151,Februari,Toyota Rush,Sumatera Utara (Medan),Pria,Rumah Tangga,27,10.2
INV/2026/00152,Juli,Daihatsu Sigra,Jawa Tengah (Semarang),Pria,Pengusaha,49,29.3
INV/2026/00153,Juli,Toyota Avanza,Sumatera Utara (Medan),Wanita,PNS,49,17.0
INV/2026/00154,Oktober,Honda HR-V,Sulawesi Selatan (Makassar),Wanita,Rumah Tangga,41,18.1
INV/2026/00155,Agustus,Honda HR-V,Sulawesi Selatan (Makassar),Pria,BUMN,51,18.5
INV/2026/00156,September,Toyota Avanza,Sumatera Utara (Medan),Wanita,Rumah Tangga,32,12.3
INV/2026/00157,Mei,Toyota Innova Zenix,Jawa Timur (Surabaya),Pria,BUMN,49,30.5
INV/2026/00158,September,Honda HR-V,DKI Jakarta,Wanita,Rumah Tangga,46,21.3
INV/2026/00159,Januari,Mitsubishi Xpander,Jawa Tengah (Semarang),Pria,BUMN,60,18.3
INV/2026/00160,November,Honda Brio,Sumatera Utara (Medan),Pria,BUMN,54,9.2
INV/2026/00161,Desember,Toyota Innova Zenix,Sulawesi Selatan (Makassar),Pria,BUMN,22,8.7
INV/2026/00162,Februari,Toyota Innova Zenix,DKI Jakarta,Wanita,PNS,48,15.5
INV/2026/00163,November,Honda Brio,Jawa Timur (Surabaya),Pria,Professional (Dokter/Pengacara),34,12.4
INV/2026/00164,September,Toyota Avanza,Sumatera Utara (Medan),Pria,Pengusaha,62,9.5
INV/2026/00165,Mei,Toyota Avanza,Sulawesi Selatan (Makassar),Pria,BUMN,24,15.0
INV/2026/00166,November,Toyota Rush,Sumatera Utara (Medan),Pria,BUMN,60,16.3
INV/2026/00167,Juni,Mitsubishi Xpander,Jawa Timur (Surabaya),Pria,Rumah Tangga,27,19.1
INV/2026/00168,Februari,Toyota Rush,Sulawesi Selatan (Makassar),Wanita,BUMN,29,14.0
INV/2026/00169,Mei,Toyota Avanza,DKI Jakarta,Wanita,Pengusaha,48,9.9
INV/2026/00170,Juli,Toyota Rush,Sumatera Utara (Medan),Wanita,Professional (Dokter/Pengacara),30,10.2
INV/2026/00171,Maret,Toyota Innova Zenix,DKI Jakarta,Wanita,Professional (Dokter/Pengacara),58,27.7
INV/2026/00172,Agustus,Toyota Innova Zenix,Jawa Tengah (Semarang),Wanita,Pengusaha,54,8.0
INV/2026/00173,Januari,Toyota Rush,Jawa Tengah (Semarang),Wanita,BUMN,63,20.9
INV/2026/00174,Desember,Honda HR-V,Jawa Barat (Bandung),Wanita,Professional (Dokter/Pengacara),45,22.2
INV/2026/00175,Desember,Toyota Innova Zenix,Jawa Timur (Surabaya),Wanita,PNS,36,17.0
INV/2026/00176,Mei,Honda Brio,Sumatera Utara (Medan),Wanita,PNS,53,32.1
INV/2026/00177,September,Honda HR-V,Sulawesi Selatan (Makassar),Wanita,PNS,53,22.0
INV/2026/00178,Maret,Toyota Avanza,Jawa Tengah (Semarang),Pria,BUMN,45,32.7
INV/2026/00179,September,Toyota Avanza,Jawa Timur (Surabaya),Wanita,Pengusaha,62,12.8
INV/2026/00180,Februari,Toyota Rush,Jawa Barat (Bandung),Wanita,Rumah Tangga,33,12.9
INV/2026/00181,November,Toyota Rush,Sulawesi Selatan (Makassar),Wanita,Karyawan Swasta,60,22.2
INV/2026/00182,Mei,Toyota Avanza,Jawa Timur (Surabaya),Wanita,Pengusaha,23,15.9
INV/2026/00183,November,Toyota Avanza,Jawa Timur (Surabaya),Pria,Professional (Dokter/Pengacara),24,31.5
INV/2026/00184,September,Toyota Rush,Sumatera Utara (Medan),Wanita,PNS,58,20.7
INV/2026/00185,Oktober,Mitsubishi Xpander,Jawa Barat (Bandung),Pria,Professional (Dokter/Pengacara),38,9.6
INV/2026/00186,April,Honda HR-V,Sumatera Utara (Medan),Pria,BUMN,23,4.1
INV/2026/00187,Maret,Honda HR-V,Jawa Tengah (Semarang),Wanita,Professional (Dokter/Pengacara),23,17.4
INV/2026/00188,Juni,Mitsubishi Xpander,DKI Jakarta,Pria,Karyawan Swasta,49,17.3
INV/2026/00189,Maret,Toyota Innova Zenix,Sulawesi Selatan (Makassar),Pria,BUMN,44,20.5
INV/2026/00190,September,Toyota Innova Zenix,Jawa Barat (Bandung),Wanita,Karyawan Swasta,58,27.7
INV/2026/00191,September,Honda Brio,Jawa Timur (Surabaya),Wanita,Rumah Tangga,53,26.6
INV/2026/00192,Januari,Daihatsu Sigra,Jawa Timur (Surabaya),Pria,Pengusaha,54,13.4
INV/2026/00193,Oktober,Toyota Innova Zenix,DKI Jakarta,Pria,Karyawan Swasta,22,7.6
INV/2026/00194,Juni,Honda HR-V,Jawa Timur (Surabaya),Wanita,Pengusaha,40,8.1
INV/2026/00195,Agustus,Toyota Avanza,Sulawesi Selatan (Makassar),Wanita,Rumah Tangga,23,12.1
INV/2026/00196,Januari,Toyota Innova Zenix,Sumatera Utara (Medan),Pria,Rumah Tangga,47,15.1
INV/2026/00197,Februari,Toyota Rush,Jawa Barat (Bandung),Pria,BUMN,53,20.4
INV/2026/00198,Juni,Toyota Innova Zenix,Sulawesi Selatan (Makassar),Pria,Karyawan Swasta,27,11.6
INV/2026/00199,Mei,Mitsubishi Xpander,Jawa Tengah (Semarang),Wanita,BUMN,53,20.2
INV/2026/00200,April,Toyota Avanza,DKI Jakarta,Pria,Professional (Dokter/Pengacara),25,20.9
INV/2026/00201,Januari,Honda Brio,Jawa Tengah (Semarang),Wanita,Professional (Dokter/Pengacara),32,19.1
INV/2026/00202,April,Honda Brio,Sulawesi Selatan (Makassar),Wanita,Rumah Tangga,38,9.0
INV/2026/00203,Oktober,Honda Brio,DKI Jakarta,Pria,BUMN,59,21.7
INV/2026/00204,Februari,Toyota Innova Zenix,Sulawesi Selatan (Makassar),Wanita,Rumah Tangga,45,34.7
INV/2026/00205,Februari,Toyota Rush,Jawa Timur (Surabaya),Wanita,Rumah Tangga,26,20.0
INV/2026/00206,Desember,Honda Brio,Jawa Timur (Surabaya),Wanita,Pengusaha,55,4.0
INV/2026/00207,Agustus,Honda HR-V,DKI Jakarta,Wanita,Karyawan Swasta,27,27.9
INV/2026/00208,Februari,Toyota Rush,Sulawesi Selatan (Makassar),Wanita,BUMN,43,12.4
INV/2026/00209,September,Honda Brio,Sulawesi Selatan (Makassar),Wanita,Pengusaha,32,36.1
INV/2026/00210,Maret,Toyota Rush,Sumatera Utara (Medan),Wanita,BUMN,37,18.9
INV/2026/00211,Maret,Honda Brio,Sumatera Utara (Medan),Pria,Pengusaha,54,4.5
INV/2026/00212,November,Honda HR-V,Jawa Barat (Bandung),Pria,Pengusaha,30,4.0
INV/2026/00213,Agustus,Toyota Rush,Jawa Timur (Surabaya),Wanita,Pengusaha,27,30.3
INV/2026/00214,September,Mitsubishi Xpander,DKI Jakarta,Pria,Karyawan Swasta,37,26.8
INV/2026/00215,Maret,Toyota Avanza,Jawa Tengah (Semarang),Wanita,BUMN,50,35.8
INV/2026/00216,Mei,Mitsubishi Xpander,Jawa Timur (Surabaya),Wanita,BUMN,24,18.1
INV/2026/00217,September,Honda HR-V,Sulawesi Selatan (Makassar),Wanita,BUMN,41,17.5
INV/2026/00218,Oktober,Honda HR-V,Jawa Timur (Surabaya),Wanita,Karyawan Swasta,57,14.9
INV/2026/00219,Juli,Toyota Avanza,Sumatera Utara (Medan),Pria,Pengusaha,40,12.7
INV/2026/00220,April,Toyota Rush,Jawa Tengah (Semarang),Pria,BUMN,47,14.9
INV/2026/00221,September,Mitsubishi Xpander,Sulawesi Selatan (Makassar),Wanita,BUMN,24,19.7
INV/2026/00222,Desember,Toyota Avanza,Jawa Timur (Surabaya),Pria,Karyawan Swasta,40,11.2
INV/2026/00223,Desember,Honda Brio,Jawa Barat (Bandung),Wanita,PNS,41,4.6
INV/2026/00224,April,Daihatsu Sigra,Sumatera Utara (Medan),Pria,BUMN,53,19.3
INV/2026/00225,Desember,Honda Brio,Sumatera Utara (Medan),Wanita,BUMN,28,11.1
INV/2026/00226,Mei,Toyota Rush,Jawa Timur (Surabaya),Pria,Karyawan Swasta,62,4.0
INV/2026/00227,Juli,Daihatsu Sigra,Sulawesi Selatan (Makassar),Wanita,PNS,54,22.4
INV/2026/00228,November,Honda HR-V,Sulawesi Selatan (Makassar),Wanita,PNS,61,9.1
INV/2026/00229,November,Honda Brio,Sumatera Utara (Medan),Wanita,PNS,60,23.3
INV/2026/00230,Juni,Mitsubishi Xpander,Jawa Tengah (Semarang),Pria,BUMN,39,23.1
INV/2026/00231,Agustus,Daihatsu Sigra,Sulawesi Selatan (Makassar),Wanita,Pengusaha,61,20.3
INV/2026/00232,September,Honda Brio,Jawa Barat (Bandung),Pria,Pengusaha,22,38.0
INV/2026/00233,Agustus,Toyota Rush,DKI Jakarta,Wanita,Karyawan Swasta,32,16.9
INV/2026/00234,Februari,Toyota Innova Zenix,Jawa Tengah (Semarang),Pria,Professional (Dokter/Pengacara),49,15.7
INV/2026/00235,April,Daihatsu Sigra,Jawa Tengah (Semarang),Pria,Professional (Dokter/Pengacara),46,23.5
INV/2026/00236,April,Toyota Avanza,Sulawesi Selatan (Makassar),Wanita,Pengusaha,44,17.6
INV/2026/00237,Februari,Toyota Rush,Jawa Barat (Bandung),Pria,Pengusaha,52,27.3
INV/2026/00238,Juni,Honda HR-V,Sulawesi Selatan (Makassar),Pria,Pengusaha,51,7.8
INV/2026/00239,Januari,Toyota Rush,Sumatera Utara (Medan),Wanita,Rumah Tangga,63,8.0
INV/2026/00240,Oktober,Honda HR-V,Jawa Barat (Bandung),Wanita,Rumah Tangga,56,24.1
INV/2026/00241,September,Mitsubishi Xpander,Jawa Tengah (Semarang),Pria,Karyawan Swasta,28,8.7
INV/2026/00242,April,Honda Brio,Jawa Tengah (Semarang),Wanita,BUMN,37,22.9
INV/2026/00243,Oktober,Honda Brio,Sumatera Utara (Medan),Wanita,Pengusaha,47,21.0
INV/2026/00244,April,Toyota Avanza,Jawa Timur (Surabaya),Pria,BUMN,23,12.4
INV/2026/00245,Januari,Honda Brio,Jawa Tengah (Semarang),Pria,Professional (Dokter/Pengacara),22,20.9
INV/2026/00246,Februari,Honda Brio,Sulawesi Selatan (Makassar),Wanita,Karyawan Swasta,33,8.1
INV/2026/00247,Desember,Toyota Avanza,Sulawesi Selatan (Makassar),Pria,Professional (Dokter/Pengacara),26,10.0
INV/2026/00248,November,Toyota Avanza,Sumatera Utara (Medan),Wanita,Rumah Tangga,58,16.1
INV/2026/00249,Januari,Toyota Innova Zenix,Sulawesi Selatan (Makassar),Wanita,Rumah Tangga,53,18.6
INV/2026/00250,April,Honda HR-V,Jawa Tengah (Semarang),Pria,BUMN,30,15.6
INV/2026/00251,Februari,Toyota Innova Zenix,Jawa Tengah (Semarang),Pria,Karyawan Swasta,62,21.5
INV/2026/00252,Januari,Toyota Avanza,DKI Jakarta,Wanita,Rumah Tangga,56,21.1
INV/2026/00253,Juni,Honda HR-V,Sulawesi Selatan (Makassar),Pria,PNS,40,30.2
INV/2026/00254,Februari,Toyota Rush,Jawa Barat (Bandung),Pria,Professional (Dokter/Pengacara),37,17.2
INV/2026/00255,September,Honda HR-V,Jawa Timur (Surabaya),Wanita,Pengusaha,24,27.6
